Code,Parents,Synonyms,Definition,Display Name,Concept Status,Semantic Type,Concept in Subset
C146821,C61078,Nanoparticle Paclitaxel Ointment SOR007|NanoPac Ointment|Nanopartcle Paclitaxel SOR007|SOR007|SOR007 Ointment|Topical Nanoparticle Paclitaxel Ointment|Uncoated Nanoparticle Paclitaxel Ointment,"A topical ointment composed of the water-insoluble taxane paclitaxel that has been processed to form uncoated nanoparticles, with potential antineoplastic activity. Upon topical administration of nanoparticle paclitaxel ointment SOR007 to the affected area, and following epithelial and dermal penetration, paclitaxel binds to tubulin and inhibits the disassembly of microtubules, which leads to the inhibition of cell division, thereby halting the proliferation of rapidly-dividing tumor cells. The nanoparticles in the nanoparticle paclitaxel ointment are produced through a specific proprietary submicron particle production.",Nanoparticle Paclitaxel Ointment SOR007,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C148280,C798,MOF Compound RiMO-301|RiMO-301,"A nanoparticle-based metal-organic framework (MOF) compound composed of proprietary X-ray-absorbing metals, with potential radiosensitizing properties. Upon intratumoral administration and subsequent irradiation of the tumor site, RiMO-301 absorbs the X-ray photons and produces reactive oxygen species (ROS), such as hydroxyl radicals and singlet oxygen, which induces ROS-mediated DNA damage in the irradiated cancer cells leading to tumor cell lysis. In addition, RiMO-301 may also contain an as of yet unidentified immunomodulating agent loaded into the channels/pores of the construct that may induce an immune response against the tumor-associated antigens (TAAs) released by the lysed tumor cells, thereby locally killing additional tumor and non-tumor cells. MOFs, porous crystalline materials composed of metal clusters and organic linkers, generate ROS at much lower X-ray dosages than used in standard radiotherapy, which results in reduced radiation exposure and X-ray damage to normal, healthy cells.",MOF Compound RiMO-301,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C148511,C1904,Nanoparticle SN-38-encapsulated Micelle Formulation IT-141|IT-141|IT141|Nanoparticle SN-38 Formulation IT141,"A nanoparticle-based formulation consisting of polymeric micelles, composed of triblock copolymers, loaded with the bioactive hydrophobic irinotecan metabolite 7-ethyl-10-hydroxy-camptothecin (SN-38), with potential antineoplastic activity. Upon administration, nanoparticle SN-38-encapsulated micelle formulation IT141 diffuses into the tumor site and the SN-38 moiety binds to and inhibits topoisomerase I by stabilizing the cleavable complex between topoisomerase I and DNA, which results in DNA breaks, inhibition of DNA replication, and apoptosis. Compared to SN-38 alone, this formulation increases the water solubility of SN-38 and allows the delivery of higher doses of SN-38. IT-141 also has a much longer circulation time and reduces toxicity to normal, healthy tissues.",,,Pharmacologic Substance,NCI Drug Dictionary Terminology
C148522,C1663,HAAH Lambda phage Vaccine SNS-301|Bacteriophage Cancer Vaccine SNS-301|HAAH-1/2/3 Lambda Phage Vaccine SNS-301|Nanoparticle HAAH Vaccine SNS-301|PAN 301-1|PAN-301-1|SNS 301|SNS-301|SNS301,"A nanoparticle-based cancer vaccine composed of a neutralized bacteriophage Lambda construct that is genetically engineered to contain peptide fragments of human aspartyl/asparaginyl beta-hydroxylase (HAAH; ASPH) on its surface and are fused to the C-terminus of the head protein of phage lambda gpD, with potential immunostimulating and antineoplastic activities. HAAH lambda phage vaccine SNS-301 also contains DNA fragments representing the phage CpG motif that activate the MHC class II pathway. Upon intradermal administration of the HAAH lambda phage vaccine SNS-301, the bacteriophage exposes the immune system to HAAH, producing a HAAH-specific antibody response, and may activate the immune system to induce a cytotoxic T-lymphocyte (CTL)-mediated immune response against HAAH-expressing tumor cells. HAAH is a transmembrane protein and highly conserved enzyme that catalyzes the hydroxylation of aspartyl and asparaginyl residues in epidermal growth factor-like domains of substrate proteins. HAAH is normally expressed in fetal development and is upregulated in a variety of cancer cell types, while its expression is nearly absent in healthy, normal cells. HAAH plays a key role in cancer cell growth, cell motility and invasiveness. Its expression is associated with a poor prognosis.",HAAH Lambda phage Vaccine SNS-301,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C148531,C61078,Paclitaxel Polymeric Micelle Formulation NANT-008|Cynviloq|Genexol-PM|IG-001|Micellar Nanoparticle-encapsulated NANT-008|NANT 008|NANT-008|NANT008|Nant-paclitaxel|Paclitaxel-loaded Micellar Diblock Copolymer NANT-008|Paclitaxel-loaded Polymeric Micelle NANT-008,"A nanoparticle-based formulation consisting of polymeric micelles encapsulating the taxane paclitaxel, with potential antineoplastic activity. Paclitaxel is covalently bound to polyethylene glycol (PEG)-based block copolymers which forms a micellar structure with an outer hydrophilic PEG shell surrounding the hydrophobic paclitaxel. Upon administration of the paclitaxel polymeric micelle formulation NANT-008, the nanoparticles are stable in the bloodstream and specifically accumulate in the tumor tissue. Due to the acidic conditions in the tumor and the pH-responsive nature of the micelles, paclitaxel is released in the tumor environment. Paclitaxel binds to microtubules, promotes microtubule assembly, and prevents depolymerization, thus interfering with normal mitosis. Compared to the administration of paclitaxel alone, this formulation increases the solubility of paclitaxel, enhances its specific retention in cancer tissue, and increases its therapeutic effect, while decreasing its toxicity. In addition, the micellar formulation allows the delivery of higher doses of paclitaxel to target tissues while minimizing systemic toxicity.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C148635,C61078,PEOX-based Polymer Encapsulated Paclitaxel FID-007|FID 007|FID-007|FID007|Nanoencapsulated Paclitaxel FID-007|Paclitaxel in Polyethyloxazoline Polymer,"A nanoparticle-based formulation composed of the poorly water-soluble paclitaxel encapsulated within branched polymers composed of polyethyloxazoline (PEOX), with potential antineoplastic activity. Upon injection of the PEOX-based polymer encapsulated paclitaxel FID-007, the nanoparticles accumulate at the tumor site, due to the unique characteristics of the tumor vasculature, while avoiding normal, healthy tissue. Once the paclitaxel is released, it binds to tubulin inside tumor cells and inhibits the disassembly-assembly dynamics of microtubules, resulting in cell cycle arrest and cell death. Compared to the administration of paclitaxel alone, this formulation increases paclitaxel's solubility and enhances its tumor tissue penetration and efficacy, while avoiding systemic exposure, which minimizes its toxicity.",PEOX-based Polymer Encapsulated Paclitaxel FID-007,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C150508,C275,"Polymer-encapsulated Luteolin Nanoparticle|3',4',5,7-Tetrahydroxyflavone-encapsulated Polymer Nanoparticles|Nano-luteolin|Nanoluteolin|Nanoparticle-based Luteolin","A nanoparticle formulation containing the poorly water-soluble naturally-occurring flavonoid luteolin encapsulated within a water-soluble polymer, with potential anti-oxidant, anti-inflammatory, apoptosis-inducing and chemopreventive activities. Upon administration of the polymer-encapsulated luteolin nanoparticle, luteolin scavenges free radicals, protects cells from reactive oxygen species (ROS)-induced damage and induces direct tumor cell cycle arrest and apoptosis in tumor cells. This inhibits tumor cell proliferation and suppresses metastasis. Compared to luteolin alone, encapsulation increases the delivery of luteolin to the tumor cells by protecting the drug against clearance and degradation, increases blood circulation time and enhances delivery into the tumor through the leaky vasculature.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C150717,C1946|C129825,Panobinostat Nanoparticle Formulation MTX110|MTX 110|MTX-110|MTX110,"A gold nanoparticle (GNP)-based formulation containing panobinostat, a pan histone deacetylase (HDAC) inhibitor, with potential antineoplastic activity. Upon intra-tumoral injection of MTX110, panobinostat is released from the formulation and selectively targets, binds to and inhibits histone deacetylase (HDAC), which induces hyperacetylation of core histone proteins. The accumulation of highly acetylated histones leads to chromatin remodeling, an altered pattern of gene expression, inhibition of tumor oncogene transcription and the selective transcription of tumor suppressor genes. This results in the inhibition of tumor cell division and the induction of tumor cell apoptosis. HDAC, upregulated in many tumor cell types, is an enzyme family that deacetylates histone proteins. Panobinostat is water insoluble and does not cross the blood-brain barrier (BBB) when administered orally or intravenously. MTX110 solubilizes panobinostat and can be directly injected into the brain, which bypasses the BBB and delivers high concentrations of panobinostat to the tumor, while minimizing systemic toxicity.",Panobinostat Nanoparticle Formulation MTX110,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C153425,C1450,Platinum Acetylacetonate-Titanium Dioxide Nanoparticles|NPt|NPt Nanomaterial|NPt Nanoparticles|NPt-Ca|Sol-gel NPt Nanomaterial|Sol-gel NPt Nanoparticles,"A preparation of platinum acetylacetonate supported by sol-gel technology functionalized titania, with potential antineoplastic activity. Upon intravenous administration, the platinum moiety forms complexes with nucleophilic groups such as GC-rich sites in DNA, inducing intrastrand and interstrand DNA cross-links, as well as DNA-protein cross-links, resulting in apoptosis and cell growth inhibition. Compared to platinum alone, the nanoparticle formulation allows increased delivery of platinum to the tumor site, thereby increasing efficacy while reducing systemic toxicity.",,,Inorganic Chemical|Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C154569,C67502,Curcumin/Doxorubicin-encapsulating Nanoparticle IMX-110|IMX 110|IMX-110|IMX110|Stat3/NF-kB/poly-tyrosine Kinase Inhibitor/Doxorubicin-encapsulating Nanoparticle IMX-110,"A water-soluble, nano-sized formulation composed of nanoparticles encapsulating the poorly water-soluble curcumin, a signal transducer and activator of transcription 3 (Stat3), nuclear factor Kappa B (NF-kB) and poly-tyrosine kinase inhibitor (TKI), and the antineoplastic anthracycline antibiotic doxorubicin, with potential antineoplastic activity. Upon administration of the curcumin/doxorubicin-encapsulating nanoparticle IMX-110, the curcumin moiety targets and inhibits the activation of STAT3 and NF-kB and prevents STAT3- and NF-kB-mediated signaling pathways, both of which are activated in a variety of human cancers and plays a key role in neoplastic transformation, uncontrolled tumor cell proliferation, tumor resistance to apoptosis, metastasis and immune evasion. The doxorubicin moiety intercalates into DNA and interferes with topoisomerase II activity. This inhibits DNA replication and RNA synthesis, leading to tumor cell growth inhibition and apoptosis. This agent also interacts with cell membrane lipids causing lipid peroxidation. Delivery of doxorubicin in nanoparticles may improve drug penetration into tumors and curcumin, by inhibiting NFkB and STAT3 activity, may circumvent the tumor cells multidrug resistance mechanisms and may therefore be effective in chemoresistant tumor cells. Chemotherapeutic agents, such as doxorubicin, upregulate the expression of NF-kB in tumor cells which generates chemotherapy-resistant tumor cells.",Doxorubicin-loaded EGFR-targeting Nanocells,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C156739,C1511,Zirconium Zr 89-DFO-cRGDY PEG-Cy5-C' Dots|89Zr-DFO-cRGDY-PEG-Cy5-C' Dot Nanoparticles|89Zr-DFO-cRGDY-PEG-Cy5-C' Dot Particles|89Zr-DFO-cRGDY-PEG-Cy5-C' Dots|Zr 89-DFO-cRGDY PEG-Cy5-C' Dots,"A radioconjugate composed of a tumor-selective fluorescent imaging agent containing silica-based nanoparticles labeled with a near-infrared (NIR) fluorophore, cyanine 5 (Cy5), and surrounded by polyethylene glycol (PEG) chains attached to cyclic arginine-glycine-aspartic acid-tyrosine) (cyclo-(Arg-Gly-Asp-Tyr; cRGDY) peptides (C' dots; Cornell prime dots; cRGDY-PEG-C' dots), and linked, via the chelator desferrioxamine (DFO), to the radioisotope zirconium Zr 89 (Zr89), with potential diagnostic properties upon positron emission tomography (PET) imaging. Upon intradermal administration of the zirconium Zr 89 cRGDY PEG-Cy5-C' dots, the cRGDY moiety selectively binds to alphaVbeta3 integrin expressed on tumor cells. Upon binding, the radioisotope moiety may be detected using PET, thereby allowing the imaging and quantification of integrin-expressing tumor cells as well as the visualization of the distribution, uptake and removal within tumor tissues. The fluorescence imaging agent is used to visualize alphaVbeta3-expressing tumor cells and assess the degree of both tumor metastasis and sentinel lymph node (SLN) trafficking. Integrins are transmembrane glycoproteins upregulated on proliferating tumor vessel endothelial cells and various cancer cells; their overexpression has been associated with neovascularization, differentiation, proliferation of tumor cells, metastasis and an overall poor prognosis.",,,"Amino Acid, Peptide, or Protein|Indicator, Reagent, or Diagnostic Aid",NCI Drug Dictionary Terminology
C156926,C181141,Sapecmeran Autogene|Boosting Cancer Vaccine GRT-R902|GRT R902|GRT-R902|GRTR902|SAPECMERAN AUTOGENE|mRNA-based TSNA Boosting Vaccine GRT-R902|mRNA-based Tumor-specific Neoantigen Boosting Vaccine GRT-R902,"An mRNA-based, personalized cancer vaccine consisting of a self-amplifying mRNA (SAM), formulated in a lipid nanoparticle (LNP), targeting twenty tumor-specific neoantigens (TSNAs) that have been identified through genetic sequencing of a patient's tumor cells, with potential immunostimulatory and antineoplastic activities. Upon intramuscular administration of sapecmeran autogene, the mRNA is taken up and translated by antigen presenting cells (APCs). Then, the expressed epitopes are presented via major histocompatibility complex (MHC) molecules on the surface of APCs. This leads to an induction of both cytotoxic T-lymphocyte and memory T-cell dependent immune responses that specifically target and destroy the patient's cancer cells that express these neoantigens. mRNA-based TSNA boosting vaccine is administered after a single dose of the adenoviral tumor-specific neoantigen priming vaccine GRT-C901.  The combined immunotherapy product, consisting of priming and boosting vaccines, is referred to as GRANITE-001.",Sapecmeran Autogene,,Immunologic Factor|Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C157247,C1663,Lipid Nanoparticle Encapsulating mRNAs Encoding Human OX40L/IL-23/IL-36gamma mRNA-2752|Lipid Nanoparticle Encapsulated OX40L/IL-23/IL-36gamma mRNAs mRNA-2752|Lipid Nanoparticle Encapsulated mRNAs Encoding Human OX40L/IL-23/IL-36gamma mRNA-2752|mRNA 2752|mRNA-2752|mRNA2752,"A lipid nanoparticle encapsulating mRNAs encoding for the human co-stimulatory protein tumor necrosis factor ligand superfamily member 4 (TNFSF4; OX40 Ligand; OX40L), the pro-inflammatory cytokines interleukin-23 (IL-23) and interleukin-36gamma (IL-36gamma), with potential immunomodulatory and anti-tumor activities. Upon intratumoral (IT) injection of the lipid nanoparticle encapsulated mRNAs encoding human OX40L/IL-23/IL-36gamma mRNA-2752, the lipid nanoparticle binds to the plasma membrane of cells and releases the mRNAs into the cell. The OX40L mRNA is then translated by the cellular protein translation machinery to produce OX40L protein, which is then expressed on the plasma membrane of the cells that internalized the OX40L mRNA. OX40L binds to and activates signaling pathways downstream of its cognate receptor tumor necrosis factor receptor superfamily member 4 (TNFRSF4; OX40), which is expressed on activated T-cells. OX40L/OX40 binding promotes increased cytokine production, which can induce proliferation of memory and effector T-lymphocytes against the nearby tumor cells. The co-administration of IL-23 and IL-36gamma further stimulates anti-tumor immune responses. Altogether, this may enhance T-cell mediated anti-tumor immune responses thereby killing of the tumor cells. OX40L, a cell surface glycoprotein and member of the tumor necrosis factor (TNF) ligand superfamily, provides a co-stimulatory signal for the proliferation and survival of activated T-cells. IL-36gamma activates innate immune cells and promotes T-helper 1 (Th1) responses, whereas IL-23 has been implicated in Th1/Th17 immunity as well as in the modulation of antigen-presenting cells (APCs).",Lipid Nanoparticle Encapsulating mRNAs Encoding Human OX40L/IL-23/IL-36gamma mRNA-2752,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C157499,C129820,Nanoscale Coordination Polymer Nanoparticles CPI-100|CPI 100|CPI-100|CPI100|NCP Nanoparticles CPI-100,"A preparation of self-assembled core-shell nanoscale coordination polymer (NCP) nanoparticles containing an as of yet undisclosed payload with potential immunostimulating and antineoplastic activities. Upon intravenous administration, NCP nanoparticle formulation CPI-100 delivers its payload to tumor cells, which may lead to enhanced immune-mediated killing and regression of tumor cells.",Nanoscale Coordination Polymer Nanoparticles CPI-100,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C157771,C177175,Cavrotolimod|AST 008|AST-008|AST008|CAVROTOLIMOD|SNA AST-008|TLR9 Agonist AST-008|Toll-like Receptor 9 Activator AST-008,"A spherical nucleic acid (SN)-based agonist of toll-like receptor 9 (TLR9), with potential immunostimulating activity. Upon administration, cavrotolimod targets and is able to enter various immune cells, including monocytes/macrophages, plasmacytoid dendritic cells (pDCs), natural killer (NK) cells and B cells, through endocytosis. Within the endosome, it binds to and activates TLR9. TLR9 activation induces immune signaling pathways and activates various immune cells, including B-cells, pDCs, NKs, and induces both the production of T-helper 1 cells (Th1) and a Th1-mediated immune response as well as a cytotoxic T-lymphocyte (CTL)-based immune response against tumor cells. This results in an inhibition of tumor cell proliferation. TLR9 is a member of the TLR family, which plays a fundamental role in pathogen recognition and activation of innate and adaptive immune responses. The SNA is a dense, radial arrangement of nucleic acids (DNA) on the surface of liposomal nanoparticles, providing a 3D-construct, that has a high cellular uptake and an increased presentation of the DNA for TLR9 agonism. It also protects against breakdown by nucleases and increases the half-life of the construct compared to linear oligonucleotides that are not in SNA format.",Cavrotolimod,,"Nucleic Acid, Nucleoside, or Nucleotide|Pharmacologic Substance",CTRP Agent Terminology|CTRP Terminology|FDA Established Names and Unique Ingredient Identifier Codes Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology
C158083,C1742|C133878|C129822,Cetuximab-loaded Ethylcellulose Polymeric Nanoparticles Decorated with Octreotide|Cetuximab-loaded Polymeric Nanoparticles Decorated With Octreotide|Polymeric Nanoparticles Loaded With Cetuximab and Decorated With Octreotide,"A preparation of ethylcellulose polymeric nanoparticles loaded with cetuximab, a recombinant, chimeric monoclonal antibody directed against the epidermal growth factor (EGFR), and decorated with the somatostatin analog, octreotide, with potential antineoplastic activity. Upon oral administration, the octreotide moiety directs the nanoparticles, which remain inert until a pH of 6.8 is reached, to somatostatin receptors (SSTRs), which are present on the cell membranes of many neuroendocrine tumor (NET) cells. At this pH, cetuximab is selectively released from the ethylcellulose polymer. Cetuximab may then bind to the extracellular domain of EGFR-expressing tumor cells, thereby preventing the activation and subsequent dimerization of the receptor. This may inhibit signal transduction and inhibit tumor cell proliferation in EGFR-dependent tumor cells. EGFR, a member of the EGFR receptor tyrosine kinase family, may be overexpressed on the cell surfaces of various tumor types.",,,"Amino Acid, Peptide, or Protein|Immunologic Factor",GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C159408,C63358,Atezolizumab/Nab-paclitaxel Regimen|Atezolizumab-Nab-paclitaxel|Atezolizumab/Albumin-bound Paclitaxel|Atezolizumab/Nab-paclitaxel|Atezolizumab/Nanoparticle Albumin-bound Paclitaxel|Tecentriq/Abraxane|nab-Paclitaxel and Atezolizumab,A regimen consisting of atezolizumab and nab-paclitaxel that may be used in the treatment of programmed cell death 1 ligand 1 (PD-L1)-positive triple-negative breast cancer (TNBC).,,,Therapeutic or Preventive Procedure,HemOnc Regimen Terminology|Multi-agent Therapeutic Regimens|Pharmacotherapy Regimens
C160824,C15670,NanoTherm Therapy|MagForce NanoTherm Therapy System|NanoTherm|NanoTherm Therapy System,A procedure for the focal treatment of solid tumors. Magnetic nanoparticles of iron oxide are introduced either directly into the tumor or into the resection cavity wall. These particles are subjected to an alternating magnetic field that causes the particles to generate heat and kill the cancer cells by thermal ablation.,NanoTherm Therapy,,Therapeutic or Preventive Procedure,CTRP Intervention Terminology|CTRP Terminology
C160867,C61199|C1962|C129820,Lipid Nanoparticle Encapsulated mRNAs Encoding Human IL-12A/IL-12B MEDI-1191|LNP Encapsulated Human IL-12A/IL-12B mRNAs MEDI-1191|MEDI-1191|MEDI1191,"A formulation consisting of lipid nanoparticle encapsulated messenger RNA (mRNA) encoding human interleukin-12 subunit beta (IL-12B; IL-12 subunit p40) and interleukin-12 subunit alpha (IL-12A; IL-12 subunit p35) with potential immunomodulatory and antineoplastic activities. Although the exact mechanism of action has not been completely characterized, upon intratumoral injection, the lipid nanoparticle moiety presumably binds to the plasma membrane of nearby cells and releases the IL-12A and IL-12B mRNA into the cell. The mRNA is then translated by the cellular protein translation machinery to produce a single-chain fusion protein of IL-12B and IL-12A subunits, which is secreted into the local tumor microenvironment (TME). Secretion of IL-12 activates the immune system by promoting the secretion of interferon-gamma, activating natural killer cells (NKs), and inducing cytotoxic T-cell responses, which may result in both decreased tumor cell proliferation and enhanced immune-mediated destruction of tumor cells.",Lipid Nanoparticle Encapsulated mRNAs Encoding Human IL-12A/IL-12B MEDI-1191,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C162186,C181141,mRNA-derived KRAS-targeted Vaccine V941|V 941|V941|mRNA 5671|mRNA-5671|mRNA-5671 Vaccine,"A lipid nanoparticle (LNP)-formulated mRNA-based cancer vaccine that targets four of the most commonly occurring KRAS mutations (G12D, G12V, G13D, and G12C), with potential immunostimulatory and antineoplastic activities. Upon vaccination, the mRNA-derived KRAS-targeted vaccine V941 (mRNA-5671) is taken up and translated by antigen presenting cells (APCs). Following translation, the epitopes are presented via major histocompatibility complex (MHC) molecules on the surface of the APCs. This leads to an induction of both cytotoxic T-lymphocyte (CTL)- and memory T-cell-dependent immune responses that specifically target and destroy tumor cells harboring these specific KRAS mutations. KRAS, a tumor-associated antigen (TAA), is mutated in a variety of tumor cell types. It plays a key role in tumor cell proliferation and survival and is associated with tumor initiation, metastasis and poor prognosis.",mRNA-derived KRAS-targeted Vaccine V941,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C162773,C61078,Submicron Particle Paclitaxel Sterile Suspension|NanoPac|Sterile Nanoparticle-based Paclitaxel Suspension|Sterile Nanoparticulate Paclitaxel|Submicron Particle Paclitaxel|Submicron Particle Paclitaxel Formulation,"A suspension composed of uncoated, stable, submicron particles of the water-insoluble taxane paclitaxel, with potential antineoplastic activity. Upon intra-tumoral administration of the submicron particle paclitaxel sterile suspension, paclitaxel binds to tubulin and inhibits the disassembly of microtubules, which leads to the inhibition of cell division, thereby halting the proliferation of rapidly-dividing tumor cells. The submicron particle paclitaxel is produced through a specific proprietary method of submicron particle production without the need for coating agents or carriers and allows for prolonged retention and sustained release at the tumor site.",Submicron Particle Paclitaxel Sterile Suspension,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C165263,C67437,Docetaxel Polymeric Micelles|Docetaxel Lipid Emulsion|Docetaxel-PM|Docetaxel-loaded PM|Docetaxel-loaded PMs|Docetaxel-loaded Polymeric Micelles|NANOXEL-M|NanoxelM,"A nanoparticle-based formulation consisting of polymeric micelles (PMs), made with poly(N-vinylpyrrolidone)-block-poly(D,L-lactide) (PVP-b-PDLLA) block polymers, encapsulating the taxane docetaxel, a semi-synthetic analogue of paclitaxel, with potential antineoplastic activity. Upon intravenous administration of the docetaxel PMs, the nanoparticles are able to accumulate at the tumor site due to the unique characteristics of the tumor's vasculature, while avoiding normal, healthy tissue. In turn, docetaxel is released locally at the target tumor site where it binds specifically to the beta-tubulin subunit of the microtubule, thereby stabilizing tubulin and inhibiting microtubule disassembly. This results in cell-cycle arrest at the G2/M phase, thereby preventing cell proliferation. This agent also inhibits pro-angiogenic factors such as vascular endothelial growth factor (VEGF) and induces various mediators of the inflammatory response. Compared to docetaxel alone, this formulation may enhance stability and improve delivery, thereby increasing docetaxel's efficacy while avoiding systemic exposure, which minimizes its toxicity.",,,Pharmacologic Substance,GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
C166169,C2124,Copper Cu 64 NOTA-PSMAi-PEG-Cy5.5-C' Dots|(64Cu)-labeled PSMA-targeting -PEG Cy5.5-C' Dots|64Cu-NOTA-PSMA-PEG-Cy5.5-C' Dot Tracer|64Cu-NOTA-PSMA-PEG-Cy5.5-C' Dots|64Cu-NOTA-PSMAi-PEG-Cy5.5-C' Dots,"An imaging agent composed of silica-based nanoparticles labeled with a near-infrared (NIR) fluorophore, cyanine 5.5 (Cy5.5), and surrounded by polyethylene glycol (PEG) chains attached to a human prostate-specific membrane antigen (PSMA) inhibitor (PSMAi) and labeled with, via the macrocyclic chelating agent 1,4,7-triazacyclononane-N,N',N''-triacetic acid (NOTA), the radioisotope copper Cu 64, with potential tumor-selective diagnostic properties upon positron emission tomography (PET) imaging. Upon administration of the copper Cu 64 NOTA-PSMAi-PEG-Cy5.5-C' dots, the PSMAi moiety selectively targets and binds to PSMA expressed on tumor cells. Upon PET imaging, PSMA-expressing tumor cells can be visualized and assessed. PSMA, a tumor-associated antigen (TAA) and type II transmembrane protein, is expressed on the membrane of prostatic epithelial cells and overexpressed on prostate tumor cells. The nanoparticle formulation may allow for enhanced uptake in PSMA-positive tumors.",Copper Cu 64 NOTA-PSMAi-PEG-Cy5.5-C' Dots,,"Indicator, Reagent, or Diagnostic Aid",CTRP Agent Terminology|CTRP Terminology|NCI Drug Dictionary Terminology
C166389,C63360,"Atezolizumab/Carboplatin/Nab-paclitaxel Regimen|Atezolizumab/Carboplatin/Albumin-bound Paclitaxel|Atezolizumab/Carboplatin/Nab-paclitaxel|Atezolizumab/Carboplatin/Nanoparticle Albumin-bound Paclitaxel|Atezolizumab/Carboplatin/Paclitaxel Protein-bound|Carboplatin, nab-Paclitaxel, Atezolizumab|Tecentriq/Carboplatin/Abraxane","A regimen consisting of atezolizumab, carboplatin and nab-paclitaxel that may be used in the treatment of metastatic non-squamous non-small cell lung cancer (NSCLC).",,,Therapeutic or Preventive Procedure,HemOnc Regimen Terminology|Multi-agent Therapeutic Regimens|Pharmacotherapy Regimens
C167334,C203332|C1904,Pegylated SN-38 Conjugate PLX038|PLX 038|PLX-038|PLX038|Pegylated SN-38 PLX038,"A pegylated conjugate of SN-38 (7-ethyl-10-hydroxy-camptothecin), a biologically active metabolite of the prodrug irinotecan, with potential antineoplastic activity. Upon administration, the proprietary linker slowly releases SN-38 from the pegylated SN-38 conjugate PLX038. SN-38 binds to and inhibits topoisomerase I by stabilizing the cleavable complex between topoisomerase I and DNA, resulting in DNA breaks, inhibition of DNA replication, and apoptosis. Compared with irinotecan, this formulation allows higher accumulation in solid tumors due to its nanoparticle size and long half-life.",Pegylated SN-38 Conjugate PLX038,,Pharmacologic Substance,CTRP Agent Terminology|CTRP Terminology|GDC Terminology|GDC Therapeutic Agent Terminology|GDC Value Terminology|NCI Drug Dictionary Terminology|NCIt Antineoplastic Agent Terminology
